Date,Latitude,Longitude,Depth,Magnitude,Magnitude Type_MD,Magnitude Type_MH,Magnitude Type_ML,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWR,Magnitude Type_MWW,Status_Reviewed,Cluster
1965-03-21,-1.547,126.623,-0.17918461044725065,1.0409430729240485,0,0,0,0,1,0,0,0,0,0,0
1965-03-22,-15.262,-173.254,-0.12937371918944404,1.4995893705174625,0,0,0,0,1,0,0,0,0,0,1
1965-03-22,-31.974,-71.573,0.30828528595221366,0.8061302706376628,0,0,0,0,1,0,0,0,0,0,4
1965-03-23,-15.382,-173.194,-0.312731353622927,0.8061302706376628,0,0,0,0,1,0,0,0,0,0,1
1965-03-24,8.418,126.553,0.42040404138056114,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-03-28,55.26,161.904,0.12248922515619512,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-03-28,-32.522,-71.233,0.6471782676567125,3.402674587649325,0,0,0,0,1,0,0,0,0,0,4
1965-03-29,40.687,142.915,-0.14466252700223597,1.2720578817289052,0,0,0,0,1,0,0,0,0,0,0
1965-03-30,-20.502,-173.701,-0.5168078356520622,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,1
1965-03-30,50.282,177.959,-0.5168078356520622,3.794044102451635,0,0,0,0,1,0,0,0,0,0,0
1965-03-31,38.365,22.405,0.7122054003921889,2.1617537343386948,0,0,0,0,1,0,0,0,0,0,0
1965-04-01,9.986,125.896,0.5021230525639795,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-04-03,15.8,-98.067,-1.1346795570743498,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,4
1965-04-04,51.865,175.172,-0.12332604012243646,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-04-04,-27.088,-176.046,-0.312731353622927,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,1
1965-04-05,37.505,22.067,-0.5168078356520622,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,0
1965-04-05,44.812,150.871,0.10366043656061123,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-04-06,36.083,139.968,0.33103707754803124,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-04-06,-0.463,120.039,-0.312731353622927,0.8061302706376628,0,0,0,0,1,0,0,0,0,0,0
1965-04-08,52.192,173.437,-0.312731353622927,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,0
1965-04-09,-32.707,-178.207,-0.5168078356520622,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,1
1965-04-09,35.047,24.318,0.5774005528835094,0.8061302706376628,0,0,0,0,1,0,0,0,0,0,0
1965-04-10,-20.455,-173.621,-0.637922905980953,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,1
1965-04-10,-17.857,-178.646,2.594123700099749,1.4995893705174625,0,0,0,0,1,0,0,0,0,0,1
1965-04-10,-13.409,170.376,2.7421958735300955,1.0409430729240485,0,0,0,0,1,0,0,0,0,0,0
1965-04-11,-42.692,174.205,-0.5168078356520622,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-04-11,-26.168,178.628,2.639180790713482,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-04-12,30.317,138.702,2.3518275652407667,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-04-15,25.08,122.897,1.4587175435278872,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
